dx, dy, freq
22, -13, 4,
22, -12, 6,
22, -11, 4,
22, -10, 20,
22, -9, 6,
22, -8, 8,
22, -7, 8,
22, -6, 22,
22, -5, 20,
22, -4, 16,
22, -3, 24,
22, -2, 22,
22, -1, 12,
22, 1, 12,
22, 2, 22,
22, 3, 24,
22, 4, 16,
22, 5, 20,
22, 6, 22,
22, 7, 8,
22, 8, 8,
22, 9, 6,
22, 10, 20,
22, 11, 4,
22, 12, 6,
22, 13, 4,
22, 14, 4,
22, 15, 12,
22, 16, 6,
22, 18, 2,
22, 20, 2,
22, 23, 2,
23, -22, 2,
23, -16, 2,
23, -15, 2,
23, -14, 2,
23, -13, 2,
23, -12, 2,
23, -11, 8,
23, -9, 2,
23, -8, 2,
23, -7, 8,
23, -6, 8,
23, -5, 14,
23, -4, 14,
23, -3, 4,
23, -2, 18,
23, -1, 10,
23, 1, 10,
23, 2, 18,
23, 3, 4,
23, 4, 14,
23, 5, 14,
23, 6, 8,
23, 7, 8,
23, 8, 2,
23, 9, 2,
23, 11, 8,
23, 12, 2,
23, 13, 2,
23, 14, 2,
23, 15, 2,
23, 16, 2,
23, 22, 2,
